Vegetable,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice,Fruit,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice
"Lettuce, romaine, heads",Fresh,2.3074,per pound,0.94,0.2094,pounds,0.5141,Plum (prunes),Dried,6.3293,per pound,1,0.1874,pounds,1.1861
"Lettuce, romaine, hearts",Fresh,3.2802,per pound,0.85,0.2094,pounds,0.8082,"Plum (prune), ready-to-drink",Juice,1.6988,per pint,1,8,fluid ounces,0.8494
Lima beans,Canned,1.4785,per pound,0.65,0.3748,pounds,0.8525,Pomegranate,Fresh,2.4672,per pound,0.56,0.3417,pounds,1.5055
Lima beans,Frozen,2.4401,per pound,1.097,0.3748,pounds,0.8336,"Pomegranate, ready-to-drink",Juice,3.2788,per pint,1,8,fluid ounces,1.6394
Lima beans,Dried,2.3933,per pound,2.5397,0.3858,pounds,0.3636,Raspberries,Fresh,7.7338,per pound,0.96,0.3197,pounds,2.5753
"Mixed vegetables, peas & carrots",Canned,1.4754,per pound,0.65,0.3392,pounds,0.7699,Raspberries,Frozen,6.159,per pound,1,0.3307,pounds,2.0368
"Mixed vegetables, peas & carrots",Frozen,1.8433,per pound,0.99,0.3392,pounds,0.6315,Strawberries,Fresh,2.9682,per pound,0.94,0.3197,pounds,1.0094
"Mixed vegetables, carrots, peas, corn, green beans",Frozen,1.7859,per pound,0.97,0.334,pounds,0.615,Strawberries,Frozen,3.3421,per pound,1,0.3307,pounds,1.1052
"Mixed vegetables, broccoli, cauliflower, carrots",Frozen,2.1538,per pound,0.97,0.3105,pounds,0.6895,Watermelon,Juice,0.382,per pint,0.52,8,fluid ounces,0.2429
"Mushrooms, whole",Fresh,3.8929,per pound,0.97,0.1543,pounds,0.6194,Apples,Fresh,1.9541,per pound,0.85,0.365,pounds,0.5076
"Mushrooms, sliced",Fresh,3.9224,per pound,1,0.1543,pounds,0.6053,Applesauce,Canned,1.2705,per pound,1,0.35,pounds,0.6572
Mustard greens,Canned,1.3367,per pound,0.65,0.3307,pounds,0.68,Apple Juice,Canned,0.9699,per pound,0.97,0.325,pounds,0.4253
Mustard greens,Frozen,2.4324,per pound,0.7478,0.3307,pounds,1.0756,Apple Concentrate,Dried,0.7086,per pound,0.88,0.345,pounds,0.3164
Navy beans,Canned,1.2738,per pound,0.65,0.3858,pounds,0.7561,Apricots,Fresh,3.7162,per pound,0.93,0.37,pounds,1.425
Navy beans,Dried,1.6073,per pound,2.4692,0.3858,pounds,0.2511,Apricots in Juice,Juice,1.9645,per pint,1,8,fluid ounces,1.0852
Okra,Fresh,5.1567,per pound,0.7695,0.3527,pounds,2.3639,Apricots in Syrup,Juice,2.3362,per pint,0.67,8,fluid ounces,1.5291
Okra,Frozen,2.2528,per pound,0.8995,0.3748,pounds,0.9387,Bananas,Fresh,7.7611,per pound,0.99,0.34,pounds,1.1154
Olives,Canned,5.3496,per pound,1,0.2976,pounds,1.5922,Mixed Berries,Fresh,0.6971,per pound,0.66,0.36,pounds,0.3177
Onions,Fresh,1.1062,per pound,0.9,0.3527,pounds,0.4335,Blackberries,Dried,4.3673,per pound,1,0.33,pounds,1.4235
Pinto beans,Canned,1.1189,per pound,0.65,0.3858,pounds,0.6641,Blueberries,Fresh,6.8483,per pound,0.91,0.34,pounds,2.3014
Pinto beans,Dried,1.4173,per pound,2.4692,0.3858,pounds,0.2215,Cantaloupe,Juice,4.9277,per pint,1,8,fluid ounces,1.6207
Potatoes,Fresh,0.8166,per pound,0.8113,0.2646,pounds,0.2663,Cherries,Juice,4.2575,per pint,0.94,8,fluid ounces,1.4056
"Potatoes, french fries",Frozen,1.9018,per pound,0.776,0.3417,pounds,0.8374,Cherries in Syrup,Fresh,3.921,per pound,1,0.345,pounds,1.2769
Potatoes,Canned,1.0266,per pound,0.65,0.3417,pounds,0.5397,Clementines,Fresh,0.8523,per pound,0.53,0.36,pounds,0.5667
Pumpkin,Canned,1.8642,per pound,1,0.5401,pounds,1.0069,Cranberries,Fresh,4.7632,per pound,0.89,0.37,pounds,1.7483
Radish,Fresh,1.8126,per pound,0.9,0.2756,pounds,0.555,Dates,Dried,5.3418,per pound,0.67,0.345,pounds,3.6214
Red peppers,Fresh,1.8742,per pound,0.82,0.2646,pounds,0.6047,Figs,Fresh,1.6811,per pound,0.79,0.355,pounds,0.9705
"Spinach, boiled",Fresh,4.1214,per pound,0.77,0.3307,pounds,1.77,Fruit Cocktail in Juice,Fresh,5.1828,per pound,1,0.325,pounds,0.6418
"Spinach, eaten raw",Fresh,4.1214,per pound,1,0.1543,pounds,0.636,Fruit Cocktail in Syrup,Juice,5.8499,per pint,0.98,8,fluid ounces,0.9642
Spinach,Canned,1.5676,per pound,0.65,0.3748,pounds,0.9039,Grapefruit,Juice,7.4233,per pint,0.94,8,fluid ounces,1.2797
Spinach,Frozen,2.2796,per pound,0.776,0.3748,pounds,1.101,Grapefruit Juice,Fresh,2.494,per pound,1,0.335,pounds,1.3038
Sweet potatoes,Fresh,1.1565,per pound,0.8818,0.4409,pounds,0.5782,Grapes,Canned,2.1996,per pound,0.68,0.34,pounds,1.4423
"Tomatoes, grape & cherry",Fresh,3.8729,per pound,0.91,0.3748,pounds,1.595,Raisins,Canned,1.5444,per pound,0.51,0.36,pounds,1.3799
"Tomatoes, roma & plum",Fresh,1.2453,per pound,0.91,0.3748,pounds,0.5129,Grape Juice,Frozen,1.2935,per pound,1,0.322,pounds,0.6137
"Tomatoes, large round",Fresh,2.1868,per pound,0.91,0.3748,pounds,0.9006,Grape Concentrate,Fresh,2.1363,per pound,0.95,0.3505,pounds,0.7151
Tomatoes,Canned,1.0715,per pound,1,0.5401,pounds,0.5787,Honeydew,Canned,4.0936,per pound,1,0.358,pounds,0.6734
Turnip greens,Fresh,2.925,per pound,0.75,0.3197,pounds,1.2467,Kiwi,Canned,1.1509,per pound,0.98,0.372,pounds,0.54
Turnip greens,Canned,1.3154,per pound,0.65,0.3527,pounds,0.7138,Mangoes,Fresh,0.8524,per pound,1,0.367,pounds,0.3878
Turnip greens,Frozen,2.5169,per pound,0.776,0.3527,pounds,1.144,Nectarines,Canned,1.2589,per pound,0.48,0.3555,pounds,0.9556
Zucchini,Fresh,1.6359,per pound,0.7695,0.3968,pounds,0.8437,Oranges,Canned,2.7064,per pound,0.78,0.347,pounds,1.3387
Beet greens,Fresh,1.1431,per pound,0.4938,0.4519,pounds,1.1961,Orange Juice,Dried,1.5698,per pound,0.73,0.3655,pounds,0.7644
